id,contrast,homogeneity,energy,label
290,23.56256127,0.729178097,0.542892532,Halophila Ovalis
291,18.64430147,0.719418107,0.483501309,Halophila Ovalis
292,25.63690257,0.796617805,0.692957236,Thalassia Hemprichii
293,56.17858456,0.729066792,0.611905567,Enhalus Acoroides
294,28.97314645,0.772646016,0.659574274,Thalassia Hemprichii
295,21.67107843,0.738341671,0.547591943,Halophila Ovalis
296,35.34973958,0.734944886,0.613420601,Enhalus Acoroides
297,29.81191789,0.711855311,0.495822578,Halophila Ovalis
298,27.11997549,0.745424817,0.624121907,Enhalus Acoroides
299,26.23258272,0.771949203,0.624265259,Thalassia Hemprichii
300,29.29705882,0.728425899,0.601935712,Enhalus Acoroides
