id,contrast,homogeneity,energy,label
103,27.58938419,0.285706494,0.023617479,Thalassia Hemprichii
104,33.10989583,0.448973106,0.105124101,Enhalus Acoroides
105,74.34618566,0.286255689,0.024189515,Halophila Ovalis
106,57.15467218,0.351647542,0.028079255,Thalassia Hemprichii
107,80.3759038,0.332015374,0.102771898,Halophila Ovalis
108,227.6076134,0.130181501,0.014710589,Enhalus Acoroides
109,184.398223,0.205151588,0.060588898,Enhalus Acoroides
110,68.45661765,0.391439926,0.06499529,Thalassia Hemprichii
111,84.61757047,0.260777565,0.028127966,Halophila Ovalis
112,86.69010417,0.341606429,0.027576189,Thalassia Hemprichii
113,38.76228554,0.259555782,0.02171874,Thalassia Hemprichii
114,37.15395221,0.37524667,0.097459071,Thalassia Hemprichii
115,34.64250919,0.434973534,0.082022088,Enhalus Acoroides
116,32.88203125,0.428747597,0.060950843,Enhalus Acoroides
117,33.07653186,0.457031031,0.113156481,Enhalus Acoroides
118,54.67974877,0.350175481,0.075656912,Halophila Ovalis
119,30.90928309,0.343862122,0.027699239,Thalassia Hemprichii
120,99.07708333,0.418994766,0.118894614,Thalassia Hemprichii
121,69.27248775,0.251711657,0.019485562,Halophila Ovalis
122,72.95594363,0.370113371,0.094476758,Halophila Ovalis
123,18.41505821,0.39882458,0.038803382,Enhalus Acoroides
124,34.12719056,0.280405164,0.023072767,Thalassia Hemprichii
125,82.614231,0.287203248,0.048201419,Halophila Ovalis
126,64.66983762,0.332957642,0.081471243,Halophila Ovalis
127,38.76228554,0.259555782,0.02171874,Thalassia Hemprichii
128,135.7213695,0.171452462,0.017193858,Enhalus Acoroides
129,34.3361826,0.26796777,0.022356845,Thalassia Hemprichii
130,72.42034314,0.384176213,0.061658183,Thalassia Hemprichii
131,84.23727022,0.378778597,0.127636208,Halophila Ovalis
132,39.40572917,0.326865651,0.048014117,Thalassia Hemprichii
133,83.22617953,0.272059352,0.035365935,Halophila Ovalis
134,68.42810968,0.308613686,0.056992455,Halophila Ovalis
135,74.29002757,0.393639454,0.073477958,Thalassia Hemprichii
136,85.61999081,0.257998095,0.027121149,Halophila Ovalis
137,74.31211703,0.287280881,0.024237806,Halophila Ovalis
138,111.4718137,0.280739472,0.023670236,Halophila Ovalis
139,227.6076134,0.130181501,0.014710589,Enhalus Acoroides
140,76.00324755,0.287141422,0.02417482,Halophila Ovalis
141,91.42247243,0.271491996,0.02315251,Halophila Ovalis
142,89.70068934,0.29794926,0.133269147,Enhalus Acoroides
143,70.77348346,0.314026719,0.076666887,Halophila Ovalis
144,91.20355392,0.2700875,0.023151477,Halophila Ovalis
145,73.02663909,0.407481044,0.093285793,Thalassia Hemprichii
146,85.15194547,0.255532357,0.024217679,Halophila Ovalis
147,33.01050858,0.455757241,0.114675536,Enhalus Acoroides
148,68.40470282,0.38141413,0.049845747,Thalassia Hemprichii
149,91.46890319,0.269443504,0.023075129,Halophila Ovalis
150,91.42247243,0.271491996,0.02315251,Halophila Ovalis
151,38.75150123,0.259631707,0.02170806,Thalassia Hemprichii
152,38.14554228,0.348847207,0.068813674,Thalassia Hemprichii
153,39.7609375,0.416465441,0.078061144,Enhalus Acoroides
154,23.26911765,0.317257204,0.031892235,Enhalus Acoroides
155,45.02192096,0.299942892,0.032187021,Thalassia Hemprichii
156,149.3082874,0.2727607,0.131765683,Enhalus Acoroides
157,91.46890319,0.269443504,0.023075129,Halophila Ovalis
158,87.52098652,0.385730832,0.082772886,Thalassia Hemprichii
159,67.28221507,0.218206051,0.017863086,Halophila Ovalis
160,101.1084099,0.333205826,0.066010478,Halophila Ovalis
161,42.55943627,0.398482373,0.064943603,Enhalus Acoroides
162,183.9107843,0.211322792,0.068367376,Enhalus Acoroides
163,91.46890319,0.269443504,0.023075129,Halophila Ovalis
164,35.23693321,0.334948914,0.027046513,Thalassia Hemprichii
165,36.12025123,0.440285593,0.113050143,Enhalus Acoroides
166,67.49675245,0.218356088,0.017823231,Halophila Ovalis
167,132.5960325,0.185635304,0.023276028,Enhalus Acoroides
168,138.8313879,0.15887386,0.0165945,Enhalus Acoroides
169,38.76228554,0.259555782,0.02171874,Thalassia Hemprichii
170,31.05223652,0.424636935,0.040733983,Enhalus Acoroides
171,112.7020527,0.214666894,0.042312369,Enhalus Acoroides
172,97.10199142,0.293682224,0.132999967,Enhalus Acoroides
173,34.99928002,0.341195762,0.052810279,Thalassia Hemprichii
174,62.36375613,0.443645127,0.13522637,Thalassia Hemprichii
175,82.19249387,0.204542455,0.016913728,Halophila Ovalis
176,81.17274816,0.357657023,0.086840279,Halophila Ovalis
177,61.5816636,0.412923446,0.091201109,Thalassia Hemprichii
178,92.26386336,0.374976957,0.134138979,Halophila Ovalis
179,91.46890319,0.269443504,0.023075129,Halophila Ovalis
180,180.5446078,0.221739572,0.078910457,Enhalus Acoroides
181,59.75196078,0.342888231,0.082018073,Halophila Ovalis
182,191.9925551,0.163160336,0.022249137,Enhalus Acoroides
183,38.75150123,0.259631707,0.02170806,Thalassia Hemprichii
184,61.30540748,0.388733047,0.075290768,Thalassia Hemprichii
185,67.19751838,0.409385492,0.091296427,Thalassia Hemprichii
186,20.06295956,0.347711273,0.034437225,Enhalus Acoroides
187,38.63180147,0.434800889,0.11635774,Enhalus Acoroides
188,61.58345588,0.372478208,0.047573972,Thalassia Hemprichii
189,17.40260417,0.360060613,0.035774783,Enhalus Acoroides
190,95.23472733,0.292949363,0.130879815,Enhalus Acoroides
191,95.88693321,0.423437596,0.132529087,Thalassia Hemprichii
192,28.20399816,0.396445095,0.092115531,Thalassia Hemprichii
193,85.8879902,0.379987591,0.130251957,Halophila Ovalis
194,127.6448223,0.16335368,0.016862455,Enhalus Acoroides
195,97.37876838,0.422374094,0.132387456,Thalassia Hemprichii
196,112.1737286,0.255894998,0.088228397,Enhalus Acoroides
197,92.86700368,0.433878644,0.13308574,Thalassia Hemprichii
198,36.73382353,0.425717442,0.082588704,Enhalus Acoroides
199,30.1462163,0.391237995,0.102460475,Thalassia Hemprichii
200,76.42058824,0.334838616,0.097435224,Halophila Ovalis
201,61.80349265,0.352458244,0.1052645,Halophila Ovalis
202,35.23693321,0.334948914,0.027046513,Thalassia Hemprichii
203,53.84252451,0.346889173,0.027871419,Thalassia Hemprichii
204,82.82657782,0.289915177,0.050186152,Halophila Ovalis
205,193.5466759,0.148473866,0.015738669,Enhalus Acoroides
206,162.9443321,0.258205703,0.121416663,Enhalus Acoroides
207,192.8727175,0.175668856,0.030455261,Enhalus Acoroides
208,178.2700368,0.22916943,0.090514349,Enhalus Acoroides
209,147.1462163,0.275553611,0.13173505,Enhalus Acoroides
210,31.19108456,0.344767548,0.027669129,Thalassia Hemprichii
211,38.75150123,0.259631707,0.02170806,Thalassia Hemprichii
212,27.6964614,0.396203915,0.090356431,Thalassia Hemprichii
213,32.15634191,0.362367427,0.078026503,Thalassia Hemprichii
214,81.02141544,0.336480952,0.107359669,Halophila Ovalis
215,126.5683364,0.202856608,0.040291891,Enhalus Acoroides
216,62.98477328,0.35442469,0.106621705,Halophila Ovalis
217,39.56816789,0.422870958,0.090527399,Enhalus Acoroides
218,81.17864583,0.388532723,0.144375818,Halophila Ovalis
219,31.45637255,0.389852088,0.11110033,Thalassia Hemprichii
220,96.94137561,0.324221069,0.055954935,Halophila Ovalis
221,59.72794118,0.348201446,0.090157524,Halophila Ovalis
222,101.5348805,0.413747548,0.110194601,Thalassia Hemprichii
223,107.2967065,0.346442612,0.104020621,Halophila Ovalis
224,33.98995098,0.436725748,0.083695532,Enhalus Acoroides
225,27.90265012,0.469266881,0.105787901,Enhalus Acoroides
226,35.23693321,0.334948914,0.027046513,Thalassia Hemprichii
227,37.454519,0.403881,0.041708864,Enhalus Acoroides
228,41.9877451,0.406153785,0.071148936,Enhalus Acoroides
229,104.8182598,0.295840542,0.025630378,Halophila Ovalis
230,23.26548713,0.31768084,0.031906747,Enhalus Acoroides
231,89.28002451,0.388772774,0.149051754,Halophila Ovalis
232,97.68848039,0.423217348,0.124678824,Thalassia Hemprichii
233,196.3870711,0.156290425,0.017392809,Enhalus Acoroides
234,63.16148897,0.441444537,0.134803488,Thalassia Hemprichii
235,31.90951287,0.27496295,0.02286873,Thalassia Hemprichii
